Date,PE,ey
1998-01-02,"	",4.068
1998-01-05,"	",4.059
1998-01-06,"	",4.103
1998-01-07,"	",4.114
1998-01-08,"	",4.148
1998-01-09,"	",4.275
1998-01-12,"	",4.223
1998-01-13,"	",4.165
1998-01-14,"	",4.14
1998-01-15,"	",4.172
1998-01-16,"	",4.125
1998-01-20,"	",4.053
1998-01-21,"	",4.085
1998-01-22,"	",4.118
1998-01-23,"	",4.142
1998-01-26,"	",4.144
1998-01-27,"	",4.093
1998-01-28,"	",4.057
1998-01-29,"	",4.024
1998-01-30,"	",4.046
1998-02-01,25.85,"	"
1998-02-02,"	",3.955
1998-02-03,"	",3.936
1998-02-04,"	",3.933
1998-02-05,"	",3.946
1998-02-06,"	",3.911
1998-02-09,"	",3.918
1998-02-10,"	",3.886
1998-02-11,"	",3.882
1998-02-12,"	",3.867
1998-02-13,"	",3.882
1998-02-17,"	",3.872
1998-02-18,"	",3.837
1998-02-19,"	",3.851
1998-02-20,"	",3.829
1998-02-23,"	",3.815
1998-02-24,"	",3.843
1998-02-25,"	",3.797
1998-02-26,"	",3.776
1998-02-27,"	",3.774
1998-03-01,27.23,"	"
1998-03-02,"	",3.774
1998-03-03,"	",3.758
1998-03-04,"	",3.775
1998-03-05,"	",3.82
1998-03-06,"	",3.745
1998-03-09,"	",3.757
1998-03-10,"	",3.715
1998-03-11,"	",3.701
1998-03-12,"	",3.696
1998-03-13,"	",3.7
1998-03-16,"	",3.664
1998-03-17,"	",3.66
1998-03-18,"	",3.642
1998-03-19,"	",3.628
1998-03-20,"	",3.597
1998-03-23,"	",3.609
1998-03-24,"	",3.576
1998-03-25,"	",3.588
1998-03-26,"	",3.592
1998-03-27,"	",3.61
1998-03-30,"	",3.616
1998-03-31,"	",3.589
1998-04-01,28.26,3.551
1998-04-02,"	",3.513
1998-04-03,"	",3.505
1998-04-06,"	",3.509
1998-04-07,"	",3.546
1998-04-08,"	",3.572
1998-04-09,"	",3.543
1998-04-13,"	",3.546
1998-04-14,"	",3.527
1998-04-15,"	",3.516
1998-04-16,"	",3.551
1998-04-17,"	",3.505
1998-04-20,"	",3.502
1998-04-21,"	",3.493
1998-04-22,"	",3.481
1998-04-23,"	",3.515
1998-04-24,"	",3.552
1998-04-27,"	",3.622
1998-04-28,"	",3.626
1998-04-29,"	",3.595
1998-04-30,"	",3.539
1998-05-01,28.3,3.493
1998-05-04,"	",3.49
1998-05-05,"	",3.511
1998-05-06,"	",3.544
1998-05-07,"	",3.576
1998-05-08,"	",3.534
1998-05-11,"	",3.539
1998-05-12,"	",3.51
1998-05-13,"	",3.5
1998-05-14,"	",3.505
1998-05-15,"	",3.532
1998-05-18,"	",3.541
1998-05-19,"	",3.529
1998-05-20,"	",3.499
1998-05-21,"	",3.513
1998-05-22,"	",3.526
1998-05-26,"	",3.579
1998-05-27,"	",3.585
1998-05-28,"	",3.568
1998-05-29,"	",3.59
1998-06-01,28.44,3.572
1998-06-02,"	",3.565
1998-06-03,"	",3.599
1998-06-04,"	",3.559
1998-06-05,"	",3.499
1998-06-08,"	",3.493
1998-06-09,"	",3.484
1998-06-10,"	",3.504
1998-06-11,"	",3.56
1998-06-12,"	",3.546
1998-06-15,"	",3.618
1998-06-16,"	",3.583
1998-06-17,"	",3.52
1998-06-18,"	",3.522
1998-06-19,"	",3.541
1998-06-22,"	",3.532
1998-06-23,"	",3.481
1998-06-24,"	",3.44
1998-06-25,"	",3.451
1998-06-26,"	",3.439
1998-06-29,"	",3.423
1998-06-30,"	",3.437
1998-07-01,29.9,3.368
1998-07-02,"	",3.374
1998-07-06,"	",3.342
1998-07-07,"	",3.35
1998-07-08,"	",3.316
1998-07-09,"	",3.339
1998-07-10,"	",3.322
1998-07-13,"	",3.32
1998-07-14,"	",3.285
1998-07-15,"	",3.292
1998-07-16,"	",3.267
1998-07-17,"	",3.259
1998-07-20,"	",3.267
1998-07-21,"	",3.32
1998-07-22,"	",3.323
1998-07-23,"	",3.394
1998-07-24,"	",3.391
1998-07-27,"	",3.371
1998-07-28,"	",3.422
1998-07-29,"	",3.438
1998-07-30,"	",3.384
1998-07-31,"	",3.452
1998-08-01,28,"	"
1998-08-03,"	",3.45
1998-08-04,"	",3.58
1998-08-05,"	",3.549
1998-08-06,"	",3.522
1998-08-07,"	",3.523
1998-08-10,"	",3.543
1998-08-11,"	",3.59
1998-08-12,"	",3.54
1998-08-13,"	",3.571
1998-08-14,"	",3.611
1998-08-17,"	",3.542
1998-08-18,"	",3.485
1998-08-19,"	",3.495
1998-08-20,"	",3.516
1998-08-21,"	",3.55
1998-08-24,"	",3.527
1998-08-25,"	",3.512
1998-08-26,"	",3.54
1998-08-27,"	",3.681
1998-08-28,"	",3.737
1998-08-31,"	",4.009
1998-09-01,26.8,3.831
1998-09-02,"	",3.846
1998-09-03,"	",3.878
1998-09-04,"	",3.911
1998-09-08,"	",3.722
1998-09-09,"	",3.786
1998-09-10,"	",3.886
1998-09-11,"	",3.775
1998-09-14,"	",3.699
1998-09-15,"	",3.671
1998-09-16,"	",3.643
1998-09-17,"	",3.738
1998-09-18,"	",3.734
1998-09-21,"	",3.72
1998-09-22,"	",3.699
1998-09-23,"	",3.573
1998-09-24,"	",3.653
1998-09-25,"	",3.646
1998-09-28,"	",3.632
1998-09-29,"	",3.631
1998-09-30,"	",3.745
1998-10-01,27.2,3.848
1998-10-02,"	",3.786
1998-10-05,"	",3.84
1998-10-06,"	",3.855
1998-10-07,"	",3.911
1998-10-08,"	",3.956
1998-10-09,"	",3.856
1998-10-12,"	",3.805
1998-10-13,"	",3.816
1998-10-14,"	",3.775
1998-10-15,"	",3.624
